LSOA01NM,WD11NM
Barnet 020C,West Finchley
Barnet 019C,West Finchley
Barnet 020D,West Finchley
Barnet 020E,West Finchley
Barnet 036B,West Hendon
Barnet 036C,West Hendon
Barnet 039D,West Hendon
Barnet 036D,West Hendon
Barnet 026B,Colindale
Barnet 026C,Colindale
Barnet 031D,West Hendon
Barnet 034C,West Hendon
Barnet 026D,Colindale
Barnet 034D,West Hendon
Barnet 026E,Colindale
Barnet 002D,High Barnet
Barnet 030D,Colindale
Barnet 036E,West Hendon
Barnet 002E,High Barnet
Barnet 036F,West Hendon
Barnet 022A,Coppetts
Barnet 007B,High Barnet
Barnet 032F,West Hendon
Barnet 022F,Woodhouse
Barnet 022B,Coppetts
Barnet 001D,High Barnet
Barnet 028C,Finchley Church End
Barnet 015A,Coppetts
Barnet 027E,Woodhouse
Barnet 028D,Finchley Church End
Barnet 017A,Mill Hill
Barnet 015B,Coppetts
Barnet 015C,Coppetts
Barnet 028E,Finchley Church End
Barnet 016A,Mill Hill
Barnet 019D,Woodhouse
Barnet 017B,Mill Hill
Barnet 019E,Woodhouse
Barnet 015D,Coppetts
Barnet 025C,Finchley Church End
Barnet 016B,Mill Hill
Barnet 027F,Woodhouse
Barnet 015E,Coppetts
Barnet 025D,Mill Hill
Barnet 035A,Garden Suburb
Barnet 022C,Coppetts
Barnet 011D,Woodhouse
Barnet 025E,Mill Hill
Barnet 009A,Brunswick Park
Barnet 033B,Garden Suburb
Barnet 022D,Coppetts
Barnet 012E,Woodhouse
Barnet 033C,Garden Suburb
Barnet 022E,Coppetts
Barnet 017C,Mill Hill
Barnet 009B,Brunswick Park
Barnet 003A,East Barnet
Barnet 033D,Garden Suburb
Barnet 011E,Woodhouse
Barnet 017D,Mill Hill
Barnet 019F,Woodhouse
Barnet 035B,Garden Suburb
Barnet 002A,East Barnet
Barnet 016C,Mill Hill
Barnet 010A,Brunswick Park
Barnet 003B,East Barnet
Barnet 033E,Garden Suburb
Barnet 015F,Woodhouse
Barnet 035C,Garden Suburb
Barnet 003C,East Barnet
Barnet 010B,Brunswick Park
Barnet 016D,Mill Hill
Barnet 035D,Garden Suburb
Barnet 006A,East Barnet
Barnet 009C,Brunswick Park
Barnet 011A,Oakleigh
Barnet 033F,Garden Suburb
Barnet 006B,East Barnet
Barnet 011B,Oakleigh
Barnet 009D,Brunswick Park
Barnet 038E,Garden Suburb
Barnet 003D,East Barnet
Barnet 005A,Oakleigh
Barnet 010C,Brunswick Park
Barnet 037B,Golders Green
Barnet 006C,East Barnet
Barnet 005B,Oakleigh
Barnet 009E,Brunswick Park
Barnet 006D,East Barnet
Barnet 005C,Oakleigh
Barnet 035E,Golders Green
Barnet 005D,Oakleigh
Barnet 035F,Golders Green
Barnet 010D,Brunswick Park
Barnet 006E,East Barnet
Barnet 010E,Brunswick Park
Barnet 027A,East Finchley
Barnet 008A,Oakleigh
Barnet 037C,Golders Green
Barnet 024A,Burnt Oak
Barnet 037D,Golders Green
Barnet 008B,Oakleigh
Barnet 029A,East Finchley
Barnet 026A,Burnt Oak
Barnet 008C,Oakleigh
Barnet 037E,Golders Green
Barnet 027B,East Finchley
Barnet 024B,Burnt Oak
Barnet 011C,Oakleigh
Barnet 039B,Golders Green
Barnet 029B,East Finchley
Barnet 012A,Totteridge
Barnet 024C,Burnt Oak
Barnet 040C,Golders Green
Barnet 029C,East Finchley
Barnet 020A,Totteridge
Barnet 039C,Golders Green
Barnet 024D,Burnt Oak
Barnet 029D,East Finchley
Barnet 012B,Totteridge
Barnet 021A,Burnt Oak
Barnet 040D,Golders Green
Barnet 020B,Totteridge
Barnet 029E,East Finchley
Barnet 024E,Burnt Oak
Barnet 007C,Totteridge
Barnet 021B,Burnt Oak
Barnet 007D,Totteridge
Barnet 008D,Totteridge
Barnet 021C,Burnt Oak
Barnet 033A,East Finchley
Barnet 037F,Golders Green
Barnet 024F,Burnt Oak
Barnet 008E,Totteridge
Barnet 027C,East Finchley
Barnet 018D,Hale
Barnet 038A,Childs Hill
Barnet 012C,Totteridge
Barnet 029F,East Finchley
Barnet 018E,Hale
Barnet 038B,Childs Hill
Barnet 012D,Totteridge
Barnet 014A,Edgware
Barnet 007A,Hale
Barnet 041A,Childs Hill
Barnet 004A,Underhill
Barnet 014B,Edgware
Barnet 013B,Hale
Barnet 040A,Childs Hill
Barnet 014C,Edgware
Barnet 013C,Hale
Barnet 007E,Underhill
Barnet 041B,Childs Hill
Barnet 004B,Underhill
Barnet 014D,Edgware
Barnet 013D,Hale
Barnet 041C,Childs Hill
Barnet 004C,Underhill
Barnet 014E,Edgware
Barnet 013E,Hale
Barnet 039A,Childs Hill
Barnet 004D,Underhill
Barnet 014F,Edgware
Barnet 013F,Hale
Barnet 018A,Edgware
Barnet 021D,Hale
Barnet 018B,Edgware
Barnet 021E,Hale
Barnet 034A,Hendon
Barnet 018C,Edgware
Barnet 040B,Childs Hill
Barnet 007F,Underhill
Barnet 032A,Hendon
Barnet 013A,Edgware
Barnet 034B,Hendon
Barnet 028A,Finchley Church End
Barnet 004E,Underhill
Barnet 041D,Childs Hill
Barnet 031A,Hendon
Barnet 023A,Finchley Church End
Barnet 001E,Underhill
Barnet 038C,Childs Hill
Barnet 031B,Hendon
Barnet 025A,Finchley Church End
Barnet 001F,Underhill
Barnet 031C,Hendon
Barnet 037A,Childs Hill
Barnet 025B,Finchley Church End
Barnet 032B,Hendon
Barnet 004F,Underhill
Barnet 038D,Childs Hill
Barnet 028B,Finchley Church End
Barnet 032C,Hendon
Barnet 023B,West Finchley
Barnet 030A,Colindale
Barnet 023C,West Finchley
Barnet 032D,Hendon
Barnet 030B,Colindale
Barnet 027D,West Finchley
Barnet 032E,Hendon
Barnet 002B,High Barnet
Barnet 030C,Colindale
Barnet 023D,West Finchley
Barnet 036A,Colindale
Barnet 019A,West Finchley
Barnet 002C,High Barnet
Barnet 019B,West Finchley
Barnet 001A,High Barnet
Barnet 001B,High Barnet
Barnet 001C,High Barnet
Harrow 007A,Edgware
Harrow 007B,Edgware
Harrow 007C,Edgware
Harrow 007D,Edgware
Harrow 007E,Edgware
Harrow 010A,Edgware
Harrow 010B,Edgware
