,RMSE,lags,params,mean_squared_error,mean_absolute_error,learning_rate,max_depth,n_estimators
47,31.251867302600463,"[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24
 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48]","{'learning_rate': 0.35, 'max_depth': 3, 'n_estimators': 300}",976.6792098993479,25.620294281329926,0.35,3.0,300.0
2,31.273936648337003,[ 1  2  3  4  5  6  7  8  9 10 11 12],"{'learning_rate': 0.35, 'max_depth': 3, 'n_estimators': 300}",978.0591134841962,25.61389605491559,0.35,3.0,300.0
46,31.30048234602233,"[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24
 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48]","{'learning_rate': 0.35, 'max_depth': 3, 'n_estimators': 200}",979.7201950936555,25.632793412723533,0.35,3.0,200.0
1,31.368153345934385,[ 1  2  3  4  5  6  7  8  9 10 11 12],"{'learning_rate': 0.35, 'max_depth': 3, 'n_estimators': 200}",983.9610443340545,25.798000645109607,0.35,3.0,200.0
45,31.40040419411489,"[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24
 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48]","{'learning_rate': 0.35, 'max_depth': 3, 'n_estimators': 100}",985.9853835537881,25.704523732960627,0.35,3.0,100.0
0,31.416741495920828,[ 1  2  3  4  5  6  7  8  9 10 11 12],"{'learning_rate': 0.35, 'max_depth': 3, 'n_estimators': 100}",987.0116462215137,26.161092026439448,0.35,3.0,100.0
32,31.450947559321914,"[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24
 25 26 27 28 29 30 31 32 33 34 35 36]","{'learning_rate': 0.35, 'max_depth': 3, 'n_estimators': 300}",989.1621023792171,25.936743250595622,0.35,3.0,300.0
31,31.580991807647667,"[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24
 25 26 27 28 29 30 31 32 33 34 35 36]","{'learning_rate': 0.35, 'max_depth': 3, 'n_estimators': 200}",997.359043554709,26.05542295484375,0.35,3.0,200.0
3,31.5869299976511,[ 1  2  3  4  5  6  7  8  9 10 11 12],"{'learning_rate': 0.35, 'max_depth': 4, 'n_estimators': 100}",997.7341466765109,26.91657862811944,0.35,4.0,100.0
35,31.605335992968403,"[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24
 25 26 27 28 29 30 31 32 33 34 35 36]","{'learning_rate': 0.35, 'max_depth': 4, 'n_estimators': 300}",998.8972632284241,26.836242325856468,0.35,4.0,300.0
19,31.611472745967706,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24],"{'learning_rate': 0.35, 'max_depth': 4, 'n_estimators': 200}",999.2852091690592,26.73132351281898,0.35,4.0,200.0
30,31.61464840841351,"[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24
 25 26 27 28 29 30 31 32 33 34 35 36]","{'learning_rate': 0.35, 'max_depth': 3, 'n_estimators': 100}",999.4859939876029,26.22133419193728,0.35,3.0,100.0
4,31.637436854071133,[ 1  2  3  4  5  6  7  8  9 10 11 12],"{'learning_rate': 0.35, 'max_depth': 4, 'n_estimators': 200}",1000.9274106953383,26.938778247652255,0.35,4.0,200.0
17,31.646329593179065,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24],"{'learning_rate': 0.35, 'max_depth': 3, 'n_estimators': 300}",1001.4901767201211,26.369478045574315,0.35,3.0,300.0
33,31.72410765905375,"[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24
 25 26 27 28 29 30 31 32 33 34 35 36]","{'learning_rate': 0.35, 'max_depth': 4, 'n_estimators': 100}",1006.4190067632328,27.01713683795886,0.35,4.0,100.0
20,31.730332101232953,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24],"{'learning_rate': 0.35, 'max_depth': 4, 'n_estimators': 300}",1006.8139752545345,26.94887335872521,0.35,4.0,300.0
5,31.752726374925306,[ 1  2  3  4  5  6  7  8  9 10 11 12],"{'learning_rate': 0.35, 'max_depth': 4, 'n_estimators': 300}",1008.2356322408771,27.07957764206243,0.35,4.0,300.0
48,31.762082019466096,"[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24
 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48]","{'learning_rate': 0.35, 'max_depth': 4, 'n_estimators': 100}",1008.8298542112915,27.084084199232265,0.35,4.0,100.0
16,31.765704691466762,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24],"{'learning_rate': 0.35, 'max_depth': 3, 'n_estimators': 200}",1009.0599945454734,26.452907796688226,0.35,3.0,200.0
21,31.813743900977908,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24],"{'learning_rate': 0.35, 'max_depth': 5, 'n_estimators': 100}",1012.1143009970091,27.337406542847397,0.35,5.0,100.0
34,31.829588964817603,"[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24
 25 26 27 28 29 30 31 32 33 34 35 36]","{'learning_rate': 0.35, 'max_depth': 4, 'n_estimators': 200}",1013.1227336692385,27.172694314404197,0.35,4.0,200.0
18,31.86396716013765,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24],"{'learning_rate': 0.35, 'max_depth': 4, 'n_estimators': 100}",1015.3124031823307,27.06520453417296,0.35,4.0,100.0
38,31.87831582560069,"[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24
 25 26 27 28 29 30 31 32 33 34 35 36]","{'learning_rate': 0.35, 'max_depth': 5, 'n_estimators': 300}",1016.2270198767434,27.367381388495748,0.35,5.0,300.0
37,31.906244320103564,"[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24
 25 26 27 28 29 30 31 32 33 34 35 36]","{'learning_rate': 0.35, 'max_depth': 5, 'n_estimators': 200}",1018.0084266141411,27.351489297631527,0.35,5.0,200.0
15,31.97199753062273,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24],"{'learning_rate': 0.35, 'max_depth': 3, 'n_estimators': 100}",1022.2086260981459,26.838095920526545,0.35,3.0,100.0
49,32.0250592279266,"[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24
 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48]","{'learning_rate': 0.35, 'max_depth': 4, 'n_estimators': 200}",1025.6044185522067,27.497654449007815,0.35,4.0,200.0
50,32.03651186731889,"[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24
 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48]","{'learning_rate': 0.35, 'max_depth': 4, 'n_estimators': 300}",1026.3380926248642,27.514409121699966,0.35,4.0,300.0
