Ward name,New code,% All Working-age (16-64) - 2015,% All Older people aged 65+ - 2015,Population density (persons per sq km) - 2013,% Not Born in UK - 2011,Below 33%,Above 66%
Brunswick Park,E05000043,647,159,52188,309,False,True
Burnt Oak,E05000044,665,91,88571,471,True,False
Childs Hill,E05000045,679,126,65161,512,False,False
Colindale,E05000046,697,75,82500,527,False,False
Coppetts,E05000047,694,111,64259,361,True,False
East Barnet,E05000048,646,148,43026,234,False,False
East Finchley,E05000049,671,136,64400,344,False,False
Edgware,E05000050,616,155,30179,374,False,False
Finchley Church End,E05000051,643,166,59259,409,False,False
Garden Suburb,E05000052,619,177,34362,360,False,True
Golders Green,E05000053,643,101,71500,458,False,False
Hale,E05000054,631,144,32500,357,False,True
Hendon,E05000055,665,120,66250,482,False,False
High Barnet,E05000056,643,176,18735,221,False,False
Mill Hill,E05000057,641,140,20106,344,False,True
Oakleigh,E05000058,634,173,48333,285,False,True
Totteridge,E05000059,627,170,17955,376,False,False
Underhill,E05000060,637,167,35543,254,False,False
West Finchley,E05000061,682,131,75909,447,False,False
West Hendon,E05000062,682,112,52794,536,False,False
Woodhouse,E05000063,676,138,68462,410,False,False
